[0.0, 90.0, 60.0, 75.0, 75.0, 60.0, 90.0, 0.0]
[30.0, 90.0, 60.0, 75.0, 75.0, 60.0, 90.0, 30.0]
[60.0, 90.0, 60.0, 75.0, 75.0, 60.0, 90.0, 60.0]
[90.0, 90.0, 60.0, 75.0, 75.0, 60.0, 90.0, 90.0]
[0.0, 0.0, 0.0, 75.0, 75.0, 0.0, 0.0, 0.0]
[30.0, 0.0, 0.0, 75.0, 75.0, 0.0, 0.0, 30.0]
[60.0, 0.0, 0.0, 75.0, 75.0, 0.0, 0.0, 60.0]
[90.0, 0.0, 0.0, 75.0, 75.0, 0.0, 0.0, 90.0]
[0.0, 30.0, 0.0, 75.0, 75.0, 0.0, 30.0, 0.0]
[30.0, 30.0, 0.0, 75.0, 75.0, 0.0, 30.0, 30.0]
[60.0, 30.0, 0.0, 75.0, 75.0, 0.0, 30.0, 60.0]
[90.0, 30.0, 0.0, 75.0, 75.0, 0.0, 30.0, 90.0]
[0.0, 60.0, 0.0, 75.0, 75.0, 0.0, 60.0, 0.0]
[30.0, 60.0, 0.0, 75.0, 75.0, 0.0, 60.0, 30.0]
[60.0, 60.0, 0.0, 75.0, 75.0, 0.0, 60.0, 60.0]
[90.0, 60.0, 0.0, 75.0, 75.0, 0.0, 60.0, 90.0]
[0.0, 90.0, 0.0, 75.0, 75.0, 0.0, 90.0, 0.0]
[30.0, 90.0, 0.0, 75.0, 75.0, 0.0, 90.0, 30.0]
[60.0, 90.0, 0.0, 75.0, 75.0, 0.0, 90.0, 60.0]
[90.0, 90.0, 0.0, 75.0, 75.0, 0.0, 90.0, 90.0]
[0.0, 0.0, 90.0, 75.0, 75.0, 90.0, 0.0, 0.0]
[30.0, 0.0, 90.0, 75.0, 75.0, 90.0, 0.0, 30.0]
[60.0, 0.0, 90.0, 75.0, 75.0, 90.0, 0.0, 60.0]
[90.0, 0.0, 90.0, 75.0, 75.0, 90.0, 0.0, 90.0]
[0.0, 30.0, 90.0, 75.0, 75.0, 90.0, 30.0, 0.0]
[30.0, 30.0, 90.0, 75.0, 75.0, 90.0, 30.0, 30.0]
[60.0, 30.0, 90.0, 75.0, 75.0, 90.0, 30.0, 60.0]
[90.0, 30.0, 90.0, 75.0, 75.0, 90.0, 30.0, 90.0]
[0.0, 60.0, 90.0, 75.0, 75.0, 90.0, 60.0, 0.0]
[30.0, 60.0, 90.0, 75.0, 75.0, 90.0, 60.0, 30.0]
[60.0, 60.0, 90.0, 75.0, 75.0, 90.0, 60.0, 60.0]
[90.0, 60.0, 90.0, 75.0, 75.0, 90.0, 60.0, 90.0]
[0.0, 90.0, 90.0, 75.0, 75.0, 90.0, 90.0, 0.0]
[30.0, 90.0, 90.0, 75.0, 75.0, 90.0, 90.0, 30.0]
[60.0, 90.0, 90.0, 75.0, 75.0, 90.0, 90.0, 60.0]
[90.0, 90.0, 90.0, 75.0, 75.0, 90.0, 90.0, 90.0]
[0.0, 0.0, 45.0, 60.0, 60.0, 45.0, 0.0, 0.0]
[30.0, 0.0, 45.0, 60.0, 60.0, 45.0, 0.0, 30.0]
[60.0, 0.0, 45.0, 60.0, 60.0, 45.0, 0.0, 60.0]
[90.0, 0.0, 45.0, 60.0, 60.0, 45.0, 0.0, 90.0]
[0.0, 30.0, 45.0, 60.0, 60.0, 45.0, 30.0, 0.0]
[30.0, 30.0, 45.0, 60.0, 60.0, 45.0, 30.0, 30.0]
[60.0, 30.0, 45.0, 60.0, 60.0, 45.0, 30.0, 60.0]
[90.0, 30.0, 45.0, 60.0, 60.0, 45.0, 30.0, 90.0]
[0.0, 60.0, 45.0, 60.0, 60.0, 45.0, 60.0, 0.0]
[30.0, 60.0, 45.0, 60.0, 60.0, 45.0, 60.0, 30.0]
[60.0, 60.0, 45.0, 60.0, 60.0, 45.0, 60.0, 60.0]
[90.0, 60.0, 45.0, 60.0, 60.0, 45.0, 60.0, 90.0]
[0.0, 90.0, 45.0, 60.0, 60.0, 45.0, 90.0, 0.0]
[30.0, 90.0, 45.0, 60.0, 60.0, 45.0, 90.0, 30.0]
[60.0, 90.0, 45.0, 60.0, 60.0, 45.0, 90.0, 60.0]
[90.0, 90.0, 45.0, 60.0, 60.0, 45.0, 90.0, 90.0]
[0.0, 0.0, 60.0, 60.0, 60.0, 60.0, 0.0, 0.0]
[30.0, 0.0, 60.0, 60.0, 60.0, 60.0, 0.0, 30.0]
[60.0, 0.0, 60.0, 60.0, 60.0, 60.0, 0.0, 60.0]
[90.0, 0.0, 60.0, 60.0, 60.0, 60.0, 0.0, 90.0]
[0.0, 30.0, 60.0, 60.0, 60.0, 60.0, 30.0, 0.0]
[30.0, 30.0, 60.0, 60.0, 60.0, 60.0, 30.0, 30.0]
[60.0, 30.0, 60.0, 60.0, 60.0, 60.0, 30.0, 60.0]
[90.0, 30.0, 60.0, 60.0, 60.0, 60.0, 30.0, 90.0]
[0.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 0.0]
[30.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 30.0]
[60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0]
[90.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 90.0]
[0.0, 90.0, 60.0, 60.0, 60.0, 60.0, 90.0, 0.0]
[30.0, 90.0, 60.0, 60.0, 60.0, 60.0, 90.0, 30.0]
[60.0, 90.0, 60.0, 60.0, 60.0, 60.0, 90.0, 60.0]
[90.0, 90.0, 60.0, 60.0, 60.0, 60.0, 90.0, 90.0]
[0.0, 0.0, 0.0, 60.0, 60.0, 0.0, 0.0, 0.0]
[30.0, 0.0, 0.0, 60.0, 60.0, 0.0, 0.0, 30.0]
[60.0, 0.0, 0.0, 60.0, 60.0, 0.0, 0.0, 60.0]
[90.0, 0.0, 0.0, 60.0, 60.0, 0.0, 0.0, 90.0]
[0.0, 30.0, 0.0, 60.0, 60.0, 0.0, 30.0, 0.0]
[30.0, 30.0, 0.0, 60.0, 60.0, 0.0, 30.0, 30.0]
[60.0, 30.0, 0.0, 60.0, 60.0, 0.0, 30.0, 60.0]
[90.0, 30.0, 0.0, 60.0, 60.0, 0.0, 30.0, 90.0]
[0.0, 60.0, 0.0, 60.0, 60.0, 0.0, 60.0, 0.0]
[30.0, 60.0, 0.0, 60.0, 60.0, 0.0, 60.0, 30.0]
[60.0, 60.0, 0.0, 60.0, 60.0, 0.0, 60.0, 60.0]
[90.0, 60.0, 0.0, 60.0, 60.0, 0.0, 60.0, 90.0]
[0.0, 90.0, 0.0, 60.0, 60.0, 0.0, 90.0, 0.0]
[30.0, 90.0, 0.0, 60.0, 60.0, 0.0, 90.0, 30.0]
[60.0, 90.0, 0.0, 60.0, 60.0, 0.0, 90.0, 60.0]
[90.0, 90.0, 0.0, 60.0, 60.0, 0.0, 90.0, 90.0]
[0.0, 0.0, 90.0, 60.0, 60.0, 90.0, 0.0, 0.0]
[30.0, 0.0, 90.0, 60.0, 60.0, 90.0, 0.0, 30.0]
[60.0, 0.0, 90.0, 60.0, 60.0, 90.0, 0.0, 60.0]
[90.0, 0.0, 90.0, 60.0, 60.0, 90.0, 0.0, 90.0]
[0.0, 30.0, 90.0, 60.0, 60.0, 90.0, 30.0, 0.0]
[30.0, 30.0, 90.0, 60.0, 60.0, 90.0, 30.0, 30.0]
[60.0, 30.0, 90.0, 60.0, 60.0, 90.0, 30.0, 60.0]
[90.0, 30.0, 90.0, 60.0, 60.0, 90.0, 30.0, 90.0]
[0.0, 60.0, 90.0, 60.0, 60.0, 90.0, 60.0, 0.0]
[30.0, 60.0, 90.0, 60.0, 60.0, 90.0, 60.0, 30.0]
[60.0, 60.0, 90.0, 60.0, 60.0, 90.0, 60.0, 60.0]
[90.0, 60.0, 90.0, 60.0, 60.0, 90.0, 60.0, 90.0]
[0.0, 90.0, 90.0, 60.0, 60.0, 90.0, 90.0, 0.0]
[30.0, 90.0, 90.0, 60.0, 60.0, 90.0, 90.0, 30.0]
[60.0, 90.0, 90.0, 60.0, 60.0, 90.0, 90.0, 60.0]
[90.0, 90.0, 90.0, 60.0, 60.0, 90.0, 90.0, 90.0]
[0.0, 0.0, 45.0, 0.0, 0.0, 45.0, 0.0, 0.0]
[30.0, 0.0, 45.0, 0.0, 0.0, 45.0, 0.0, 30.0]
[60.0, 0.0, 45.0, 0.0, 0.0, 45.0, 0.0, 60.0]
[90.0, 0.0, 45.0, 0.0, 0.0, 45.0, 0.0, 90.0]
[0.0, 30.0, 45.0, 0.0, 0.0, 45.0, 30.0, 0.0]
[30.0, 30.0, 45.0, 0.0, 0.0, 45.0, 30.0, 30.0]
[60.0, 30.0, 45.0, 0.0, 0.0, 45.0, 30.0, 60.0]
[90.0, 30.0, 45.0, 0.0, 0.0, 45.0, 30.0, 90.0]
[0.0, 60.0, 45.0, 0.0, 0.0, 45.0, 60.0, 0.0]
[30.0, 60.0, 45.0, 0.0, 0.0, 45.0, 60.0, 30.0]
[60.0, 60.0, 45.0, 0.0, 0.0, 45.0, 60.0, 60.0]
[90.0, 60.0, 45.0, 0.0, 0.0, 45.0, 60.0, 90.0]
[0.0, 90.0, 45.0, 0.0, 0.0, 45.0, 90.0, 0.0]
[30.0, 90.0, 45.0, 0.0, 0.0, 45.0, 90.0, 30.0]
[60.0, 90.0, 45.0, 0.0, 0.0, 45.0, 90.0, 60.0]
[90.0, 90.0, 45.0, 0.0, 0.0, 45.0, 90.0, 90.0]
[0.0, 0.0, 60.0, 0.0, 0.0, 60.0, 0.0, 0.0]
[30.0, 0.0, 60.0, 0.0, 0.0, 60.0, 0.0, 30.0]
[60.0, 0.0, 60.0, 0.0, 0.0, 60.0, 0.0, 60.0]
[90.0, 0.0, 60.0, 0.0, 0.0, 60.0, 0.0, 90.0]
[0.0, 30.0, 60.0, 0.0, 0.0, 60.0, 30.0, 0.0]
[30.0, 30.0, 60.0, 0.0, 0.0, 60.0, 30.0, 30.0]
[60.0, 30.0, 60.0, 0.0, 0.0, 60.0, 30.0, 60.0]
[90.0, 30.0, 60.0, 0.0, 0.0, 60.0, 30.0, 90.0]
[0.0, 60.0, 60.0, 0.0, 0.0, 60.0, 60.0, 0.0]
[30.0, 60.0, 60.0, 0.0, 0.0, 60.0, 60.0, 30.0]
[60.0, 60.0, 60.0, 0.0, 0.0, 60.0, 60.0, 60.0]
[90.0, 60.0, 60.0, 0.0, 0.0, 60.0, 60.0, 90.0]
[0.0, 90.0, 60.0, 0.0, 0.0, 60.0, 90.0, 0.0]
[30.0, 90.0, 60.0, 0.0, 0.0, 60.0, 90.0, 30.0]
[60.0, 90.0, 60.0, 0.0, 0.0, 60.0, 90.0, 60.0]
[90.0, 90.0, 60.0, 0.0, 0.0, 60.0, 90.0, 90.0]
[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
[30.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 30.0]
[60.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 60.0]
[90.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 90.0]
[0.0, 30.0, 0.0, 0.0, 0.0, 0.0, 30.0, 0.0]
[30.0, 30.0, 0.0, 0.0, 0.0, 0.0, 30.0, 30.0]
[60.0, 30.0, 0.0, 0.0, 0.0, 0.0, 30.0, 60.0]
[90.0, 30.0, 0.0, 0.0, 0.0, 0.0, 30.0, 90.0]
[0.0, 60.0, 0.0, 0.0, 0.0, 0.0, 60.0, 0.0]
[30.0, 60.0, 0.0, 0.0, 0.0, 0.0, 60.0, 30.0]
[60.0, 60.0, 0.0, 0.0, 0.0, 0.0, 60.0, 60.0]
[90.0, 60.0, 0.0, 0.0, 0.0, 0.0, 60.0, 90.0]
[0.0, 90.0, 0.0, 0.0, 0.0, 0.0, 90.0, 0.0]
[30.0, 90.0, 0.0, 0.0, 0.0, 0.0, 90.0, 30.0]
[60.0, 90.0, 0.0, 0.0, 0.0, 0.0, 90.0, 60.0]
[90.0, 90.0, 0.0, 0.0, 0.0, 0.0, 90.0, 90.0]
[0.0, 0.0, 90.0, 0.0, 0.0, 90.0, 0.0, 0.0]
[30.0, 0.0, 90.0, 0.0, 0.0, 90.0, 0.0, 30.0]
[60.0, 0.0, 90.0, 0.0, 0.0, 90.0, 0.0, 60.0]
[90.0, 0.0, 90.0, 0.0, 0.0, 90.0, 0.0, 90.0]
[0.0, 30.0, 90.0, 0.0, 0.0, 90.0, 30.0, 0.0]
[30.0, 30.0, 90.0, 0.0, 0.0, 90.0, 30.0, 30.0]
[60.0, 30.0, 90.0, 0.0, 0.0, 90.0, 30.0, 60.0]
